subject,task,agent1,agent2,choice,dp,devs,devratio
21,DO,D,O,D,7,0,0.00
21,DE,D,E,D,7,0,0.00
21,OD,O,D,D,7,0,0.00
21,OE,O,E,O,7,1,0.14
21,ED,E,D,D,7,0,0.00
21,EO,E,O,O,7,1,0.14
22,PD,D,,D,7,0,0.00
22,PO,O,,O,6,1,0.17
22,PE,E,,N,12,1,0.08
22,DO,D,O,N,5,0,0.00
22,DE,D,E,E,6,0,0.00
22,OD,O,D,D,7,0,0.00
22,OE,O,E,E,5,0,0.00
22,ED,E,D,D,7,0,0.00
22,EO,E,O,O,7,1,0.14
23,PD,D,,D,7,0,0.00
23,PO,O,,D,7,1,0.14
23,PE,E,,E,5,0,0.00
23,DO,D,O,D,7,0,0.00
23,DE,D,E,E,5,0,0.00
23,OD,O,D,D,7,0,0.00
23,OE,O,E,O,7,1,0.14
23,ED,E,D,D,7,0,0.00
23,EO,E,O,O,7,1,0.14
24,PD,D,,D,7,0,0.00
24,PO,O,,O,8,0,0.00
24,PE,E,,E,5,0,0.00
24,DO,D,O,D,7,0,0.00
24,DE,D,E,D,7,0,0.00
24,OD,O,D,D,7,0,0.00
24,OE,O,E,E,5,0,0.00
24,ED,E,D,E,5,0,0.00
24,EO,E,O,O,8,0,0.00
25,PD,D,,D,7,0,0.00
25,PO,O,,D,7,1,0.14
25,PE,E,,D,7,1,0.14
25,DO,D,O,D,7,0,0.00
25,DE,D,E,D,7,0,0.00
25,OD,O,D,D,7,0,0.00
25,OE,O,E,O,7,1,0.14
25,ED,E,D,E,13,4,0.31
25,EO,E,O,O,7,1,0.14
26,PD,D,,D,7,0,0.00
26,PO,O,,O,8,0,0.00
26,PE,E,,E,5,0,0.00
26,DO,D,O,D,7,0,0.00
26,DE,D,E,E,6,0,0.00
26,OD,O,D,D,7,0,0.00
26,OE,O,E,E,5,0,0.00
26,ED,E,D,E,5,0,0.00
26,EO,E,O,O,8,0,0.00
27,PD,D,,D,7,0,0.00
27,PO,O,,O,8,0,0.00
27,PE,E,,E,5,0,0.00
27,DO,D,O,D,7,0,0.00
27,DE,D,E,E,5,0,0.00
27,OD,O,D,O,8,0,0.00
27,OE,O,E,E,6,1,0.17
27,ED,E,D,E,5,0,0.00
27,EO,E,O,O,7,1,0.14
28,PD,D,,D,7,0,0.00
28,PO,O,,O,8,0,0.00
28,PE,E,,N,9,2,0.22
28,DO,D,O,D,7,0,0.00
28,DE,D,E,D,7,0,0.00
28,OD,O,D,O,8,0,0.00
28,OE,O,E,O,7,1,0.14
28,ED,E,D,E,5,0,0.00
28,EO,E,O,O,7,1,0.14
29,PD,D,,D,7,0,0.00
29,PO,O,,O,8,0,0.00
29,PE,E,,E,5,0,0.00
29,DO,D,O,D,7,0,0.00
29,DE,D,E,E,6,0,0.00
29,OD,O,D,D,7,0,0.00
29,OE,O,E,E,5,0,0.00
29,ED,E,D,D,7,0,0.00
29,EO,E,O,O,7,1,0.14
30,PD,D,,D,7,0,0.00
30,PO,O,,O,8,0,0.00
30,PE,E,,E,5,0,0.00
30,DO,D,O,D,7,0,0.00
30,DE,D,E,D,7,0,0.00
30,OD,O,D,D,7,0,0.00
30,OE,O,E,O,8,0,0.00
30,ED,E,D,E,5,0,0.00
30,EO,E,O,O,8,0,0.00
